algo,experiment,desc,val_r2,val_mse,val_rmse,val_mae,train_r2,train_mse,train_rmse,train_mae,diff
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 4, min_child_weight: 6, colsample_bytree: 0.4",0.93411,101469.71634,318.54312,216.58571,0.98801,13051.20635,114.24188,73.90489,741.13909
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 4, min_child_weight: 6, colsample_bytree: 0.6",0.93537,99532.88008,315.48832,211.05726,0.98983,11067.32954,105.20138,68.27041,744.19389
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 4, min_child_weight: 6, colsample_bytree: 0.8",0.93681,97311.55835,311.94801,211.4353,0.98943,11504.88441,107.26082,69.98162,747.7342
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 4, min_child_weight: 8, colsample_bytree: 0.4",0.93982,92688.1113,304.44722,205.60695,0.98757,13526.54234,116.30366,75.2719,755.23499
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 4, min_child_weight: 8, colsample_bytree: 0.6",0.93442,100993.17478,317.79423,213.54295,0.98933,11608.51197,107.7428,70.53264,741.88798
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 4, min_child_weight: 8, colsample_bytree: 0.8",0.93681,97321.57118,311.96405,212.49826,0.98955,11369.52717,106.62798,69.84223,747.71816
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 4, min_child_weight: 10, colsample_bytree: 0.4",0.9364,97942.71483,312.95801,212.66183,0.98735,13771.101,117.35033,76.01929,746.7242
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 4, min_child_weight: 10, colsample_bytree: 0.6",0.93461,100701.38813,317.33482,213.79879,0.98836,12667.33887,112.54927,73.56747,742.34739
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 4, min_child_weight: 10, colsample_bytree: 0.8",0.94117,90596.8308,300.99307,200.36692,0.98871,12288.89096,110.85527,72.30087,758.68914
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 5, min_child_weight: 4, colsample_bytree: 0.4",0.93547,99386.98011,315.25701,214.69811,0.99509,5348.30951,73.13214,49.12407,744.4252
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 5, min_child_weight: 4, colsample_bytree: 0.6",0.9286,109957.93423,331.59906,225.91968,0.99592,4438.38858,66.62123,45.09454,728.08315
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 5, min_child_weight: 4, colsample_bytree: 0.8",0.93508,99981.16359,316.19798,214.9874,0.99617,4170.32832,64.57808,43.39492,743.48423
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 5, min_child_weight: 5, colsample_bytree: 0.4",0.92576,114328.60792,338.12514,234.01059,0.99479,5672.95042,75.31899,50.34066,721.55707
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 5, min_child_weight: 5, colsample_bytree: 0.6",0.93623,98214.70203,313.39225,210.42525,0.99564,4744.74173,68.88209,46.30812,746.28996
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 5, min_child_weight: 5, colsample_bytree: 0.8",0.93342,102538.48836,320.21631,216.23428,0.99585,4519.01047,67.22359,45.07834,739.4659
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 5, min_child_weight: 6, colsample_bytree: 0.4",0.93227,104312.70205,322.97477,221.68643,0.99445,6038.3213,77.70664,51.5807,736.70744
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 5, min_child_weight: 6, colsample_bytree: 0.6",0.93397,101698.29775,318.90171,213.64221,0.99537,5039.00522,70.98595,47.29517,740.7805
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 5, min_child_weight: 6, colsample_bytree: 0.8",0.93854,94655.04402,307.6606,206.23674,0.99566,4719.0678,68.69547,45.91415,752.02161
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 5, min_child_weight: 8, colsample_bytree: 0.4",0.93313,102977.88659,320.90168,218.57978,0.99397,6563.96563,81.0183,53.94369,738.78053
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 5, min_child_weight: 8, colsample_bytree: 0.6",0.93065,106811.0067,326.81953,217.18257,0.99514,5289.40353,72.72829,48.48256,732.86268
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 5, min_child_weight: 8, colsample_bytree: 0.8",0.93559,99199.82932,314.96004,209.16097,0.99551,4885.3739,69.89545,46.38218,744.72217
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 5, min_child_weight: 10, colsample_bytree: 0.4",0.93069,106737.48968,326.70704,223.12059,0.99368,6876.17405,82.9227,54.99417,732.97517
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 5, min_child_weight: 10, colsample_bytree: 0.6",0.92667,112932.51677,336.05434,230.01747,0.99446,6028.15492,77.64119,50.93704,723.62787
